"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 31 23:33:06 UTC 2026","Sun May 31 23:33:07 UTC 2026","119","","VetApiTest — REST API ветеринаров","","org.petclinic.tests.VetApiTest","getVets_listIsNotEmpty","getVets_listIsNotEmpty()","Список ветеринаров не пуст — данные загружены из data.sql"
"passed","","","1","","org.springframework.samples.petclinic.customers.unit.OwnerValidationTest","","1. Имена владельцев — различные форматы","","variousFirstNames(String)[3]",""
"passed","","","1","","org.springframework.samples.petclinic.customers.unit.PetValidationTest","","3. Типы питомцев","","standardPetTypes(String)[2]",""
"passed","","","5","","org.springframework.samples.petclinic.customers.unit.PetValidationTest","","3. Типы питомцев","","standardPetTypes(String)[1]",""
"passed","","","1","","org.springframework.samples.petclinic.customers.unit.PetValidationTest","","2. Граничные случаи дат","","currentDate",""
"passed","Sun May 31 23:33:15 UTC 2026","Sun May 31 23:33:15 UTC 2026","94","","OwnerApiTest — REST API владельцев","","org.petclinic.tests.OwnerApiTest","getOwner_nonExistentId_returnsNoRealOwner","getOwner_nonExistentId_returnsNoRealOwner()","GET /owners/{id} для несуществующего ID → не возвращает данные реального владельца"
"passed","","","14","","org.springframework.samples.petclinic.customers.integration.OwnerRepositoryIT","","3. Граничные случаи","","savedId_matchesFoundId",""
"passed","","","0","","org.springframework.samples.petclinic.customers.unit.PetValidationTest","","1. Граничные случаи имён питомцев","","variousPetNames(String)[1]",""
"passed","","","0","","org.springframework.samples.petclinic.customers.unit.PetServiceTest","","1. Модель Pet — базовые свойства","","petTypeSetAndGet",""
"passed","","","1","","org.springframework.samples.petclinic.customers.unit.OwnerValidationTest","","1. Имена владельцев — различные форматы","","variousFirstNames(String)[2]",""
"passed","","","15","","org.springframework.samples.petclinic.customers.integration.PetRepositoryIT","","2. Специфика PostgreSQL","","variousCities_persistedInPostgres(String)[4]",""
"passed","","","18","","org.springframework.samples.petclinic.customers.integration.OwnerRepositoryIT","","2. Несколько записей","","deleteOne_otherRemains",""
"passed","","","8","","org.springframework.samples.petclinic.customers.integration.OwnerRepositoryIT","","3. Граничные случаи","","allFieldsPersistCorrectly",""
"passed","","","1","","org.springframework.samples.petclinic.customers.unit.PetServiceTest","","1. Модель Pet — базовые свойства","","newPetHasNoType",""
"passed","Sun May 31 23:33:21 UTC 2026","Sun May 31 23:33:21 UTC 2026","242","","PetApiTest — REST API питомцев","","org.petclinic.tests.PetApiTest","updatePet_existingPet_returns204","updatePet_existingPet_returns204()","PUT /owners/*/pets/{id} → 204 No Content"
"passed","","","0","","org.springframework.samples.petclinic.customers.unit.OwnerValidationTest","","3. Города","","variousCities(String)[3]",""
"passed","","","662","","org.springframework.samples.petclinic.customers.integration.PetRepositoryIT","","2. Специфика PostgreSQL","","variousCities_persistedInPostgres(String)[1]",""
"passed","","","15","","org.springframework.samples.petclinic.customers.integration.PetRepositoryIT","","2. Специфика PostgreSQL","","variousCities_persistedInPostgres(String)[3]",""
"passed","","","0","","org.springframework.samples.petclinic.customers.unit.OwnerValidationTest","","1. Имена владельцев — различные форматы","","variousFirstNames(String)[4]",""
"passed","","","243","","org.petclinic.tests.PetApiTest","","org.petclinic.tests.PetApiTest","","updatePet_existingPet_returns204",""
"passed","","","20","","org.springframework.samples.petclinic.customers.contract.VisitsClientContractTest","","1. Контракт формата ответа","","responseContainsItemsField",""
"passed","","","8","","org.springframework.samples.petclinic.customers.integration.OwnerRepositoryIT","","1. Базовые CRUD-операции","","saveAndFindById_allFieldsMatch",""
"passed","","","29","","org.springframework.samples.petclinic.customers.contract.VisitsExtendedContractTest","","2. Контракт содержимого визитов","","responseContentType_isJson",""
"failed","Sun May 31 23:33:26 UTC 2026","Sun May 31 23:33:27 UTC 2026","420","","FullScenarioTest — жизненный цикл","","org.petclinic.tests.FullScenarioTest","fullOwnerPetLifecycle","fullOwnerPetLifecycle()","Шаг 1: Создать владельца
Шаг 2: Проверить что владелец создан (GET by ID)
Шаг 3: Добавить питомца владельцу
Шаг 4: Получить владельца и убедиться, что питомец присутствует
Шаг 5: Обновить данные владельца (PUT)
Шаг 6: Проверить что данные обновились
Шаг 7: Запросить несуществующего владельца → 404
"
"failed","","","425","","org.petclinic.tests.FullScenarioTest","","org.petclinic.tests.FullScenarioTest","","fullOwnerPetLifecycle",""
"passed","","","25","","org.springframework.samples.petclinic.customers.contract.VisitsClientContractTest","","2. Корректность данных","","request_isSent",""
"passed","","","1","","org.springframework.samples.petclinic.customers.unit.OwnerValidationTest","","2. Телефонные номера","","variousPhoneFormats(String)[2]",""
"passed","Sun May 31 23:33:15 UTC 2026","Sun May 31 23:33:15 UTC 2026","141","","OwnerApiTest — REST API владельцев","","org.petclinic.tests.OwnerApiTest","createOwner_invalidTelephone_returns400","createOwner_invalidTelephone_returns400()","POST с телефоном, содержащим буквы (@Digits), должен вернуть 400"
"passed","","","33","","org.springframework.samples.petclinic.customers.unit.PetServiceTest","","4. Owner — управление списком питомцев","","addTwoPets",""
"passed","","","9","","org.springframework.samples.petclinic.customers.integration.OwnerRepositoryIT","","3. Граничные случаи","","longAddress_savedCompletely",""
"passed","","","17","","org.springframework.samples.petclinic.customers.integration.OwnerRepositoryIT","","2. Несколько записей","","threeOwners_savedIndependently",""
"passed","","","13","","org.springframework.samples.petclinic.customers.integration.OwnerRepositoryIT","","3. Граничные случаи","","resave_doesNotCreateDuplicate",""
"passed","","","0","","org.springframework.samples.petclinic.customers.unit.OwnerValidationTest","","3. Города","","variousCities(String)[5]",""
"passed","","","54","","org.petclinic.tests.OwnerApiTest","","org.petclinic.tests.OwnerApiTest","","createOwner_blankFirstName_returns400",""
"passed","Sun May 31 23:33:21 UTC 2026","Sun May 31 23:33:21 UTC 2026","158","","PetApiTest — REST API питомцев","","org.petclinic.tests.PetApiTest","createPet_validData_returns201","createPet_validData_returns201()","POST /owners/{id}/pets → 201 с данными питомца (name, type, birthDate)"
"passed","","","19","","org.springframework.samples.petclinic.customers.contract.VisitsClientContractTest","","3. Обработка ошибок","","successfulRequest_noException",""
"passed","","","0","","org.springframework.samples.petclinic.customers.unit.PetServiceTest","","2. Модель PetType","","petTypeNameSetAndGet",""
"passed","","","1","","org.springframework.samples.petclinic.customers.unit.PetServiceTest","","1. Модель Pet — базовые свойства","","newPetHasNoId",""
"passed","Sun May 31 23:33:21 UTC 2026","Sun May 31 23:33:21 UTC 2026","123","","PetApiTest — REST API питомцев","","org.petclinic.tests.PetApiTest","getPetTypes_returns200WithNonEmptyList","getPetTypes_returns200WithNonEmptyList()","GET /petTypes → 200, список не пустой, у каждого типа есть id и name"
"passed","","","0","","org.springframework.samples.petclinic.customers.unit.OwnerValidationTest","","4. Список питомцев — различные сценарии","","firstPetHasCorrectName",""
"passed","Sun May 31 23:33:15 UTC 2026","Sun May 31 23:33:15 UTC 2026","123","","OwnerApiTest — REST API владельцев","","org.petclinic.tests.OwnerApiTest","updateOwner_existingId_returns204","updateOwner_existingId_returns204()","PUT /owners/{id} для существующего владельца → 204 No Content"
"passed","Sun May 31 23:33:07 UTC 2026","Sun May 31 23:33:07 UTC 2026","141","","VetApiTest — REST API ветеринаров","","org.petclinic.tests.VetApiTest","getVets_returns200AndJsonArray","getVets_returns200AndJsonArray()","GET /vets → 200, ответ является массивом JSON"
"passed","","","17","","org.springframework.samples.petclinic.customers.integration.PetRepositoryIT","","2. Специфика PostgreSQL","","idIsAutoIncrementedCorrectly",""
"passed","","","16","","org.springframework.samples.petclinic.customers.integration.PetRepositoryIT","","3. Последовательные операции","","createDeleteCreate",""
"passed","","","0","","org.springframework.samples.petclinic.customers.unit.OwnerValidationTest","","1. Имена владельцев — различные форматы","","variousLastNames(String)[2]",""
"passed","","","2","","org.springframework.samples.petclinic.customers.unit.PetServiceTest","","3. Модель Owner — базовые свойства","","ownerTelephoneSetAndGet",""
"passed","","","0","","org.springframework.samples.petclinic.customers.unit.PetValidationTest","","3. Типы питомцев","","standardPetTypes(String)[4]",""
"passed","","","0","","org.springframework.samples.petclinic.customers.unit.PetServiceTest","","4. Owner — управление списком питомцев","","newOwnerHasNoPets",""
"passed","","","0","","org.springframework.samples.petclinic.customers.unit.PetValidationTest","","2. Граничные случаи дат","","pastDate",""
"passed","","","23","","org.springframework.samples.petclinic.customers.contract.VisitsClientContractTest","","1. Контракт формата ответа","","visitHasDescriptionField",""
"passed","","","121","","org.petclinic.tests.VetApiTest","","org.petclinic.tests.VetApiTest","","getVets_listIsNotEmpty",""
"passed","","","16","","org.springframework.samples.petclinic.customers.integration.PetRepositoryIT","","2. Специфика PostgreSQL","","cityWithHyphen",""
"passed","","","6","","org.springframework.samples.petclinic.customers.integration.OwnerRepositoryIT","","1. Базовые CRUD-операции","","saveOwnerGeneratesId",""
"passed","","","0","","org.springframework.samples.petclinic.customers.unit.OwnerValidationTest","","2. Телефонные номера","","variousPhoneFormats(String)[3]",""
"passed","","","12","","org.springframework.samples.petclinic.customers.integration.OwnerRepositoryIT","","1. Базовые CRUD-операции","","deleteOwner_notFoundAfterDeletion",""
"passed","Sun May 31 23:33:12 UTC 2026","Sun May 31 23:33:14 UTC 2026","2248","","OwnerApiTest — REST API владельцев","","org.petclinic.tests.OwnerApiTest","updateOwner_dataActuallyChanged","updateOwner_dataActuallyChanged()","После PUT данные владельца действительно изменились в БД"
"passed","Sun May 31 23:33:14 UTC 2026","Sun May 31 23:33:14 UTC 2026","361","","OwnerApiTest — REST API владельцев","","org.petclinic.tests.OwnerApiTest","getAllOwners_returns200AndNonNullList","getAllOwners_returns200AndNonNullList()","GET /owners → 200, ответ является непустым массивом"
"passed","","","15","","org.springframework.samples.petclinic.customers.contract.VisitsClientContractTest","","2. Корректность данных","","visitDescription_correct",""
"passed","","","363","","org.petclinic.tests.OwnerApiTest","","org.petclinic.tests.OwnerApiTest","","getAllOwners_returns200AndNonNullList",""
"passed","","","0","","org.springframework.samples.petclinic.customers.unit.PetServiceTest","","1. Модель Pet — базовые свойства","","petNameCanBeChanged",""
"passed","","","1","","org.springframework.samples.petclinic.customers.unit.OwnerValidationTest","","4. Список питомцев — различные сценарии","","fivePets",""
"passed","","","142","","org.petclinic.tests.VetApiTest","","org.petclinic.tests.VetApiTest","","getVets_returns200AndJsonArray",""
"passed","","","1","","org.springframework.samples.petclinic.customers.unit.PetValidationTest","","1. Граничные случаи имён питомцев","","variousPetNames(String)[3]",""
"passed","","","13","","org.springframework.samples.petclinic.customers.contract.VisitsExtendedContractTest","","1. Контракт для разных ID питомцев","","visitsForDifferentPetIds(int)[4]",""
"passed","","","1","","org.springframework.samples.petclinic.customers.unit.OwnerValidationTest","","1. Имена владельцев — различные форматы","","variousFirstNames(String)[1]",""
"passed","Sun May 31 23:33:14 UTC 2026","Sun May 31 23:33:15 UTC 2026","291","","OwnerApiTest — REST API владельцев","","org.petclinic.tests.OwnerApiTest","getOwner_existingId_returns200WithData","getOwner_existingId_returns200WithData()","GET /owners/{id} для существующего владельца → 200 с корректными данными"
