"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","16","","org.springframework.samples.petclinic.visits.web.ExtendedVisitResourceTest","","1. POST owners/*/pets/{petId}/visits — создание визита","","emptyDescription_savedSuccessfully",""
"passed","","","30","","org.springframework.samples.petclinic.api.boundary.web.ExtendedApiGatewayControllerTest","","1. Владелец без питомцев","","noPets_ownerFieldsPresent",""
"passed","","","1","","org.springframework.samples.petclinic.customers.unit.PetValidationTest","","1. Граничные случаи имён питомцев","","variousPetNames(String)[4]",""
"passed","","","0","","org.springframework.samples.petclinic.customers.unit.PetValidationTest","","1. Граничные случаи имён питомцев","","singleCharName",""
"passed","","","864","","org.springframework.samples.petclinic.api.boundary.web.ApiGatewayControllerTest","","org.springframework.samples.petclinic.api.boundary.web.ApiGatewayControllerTest","","getOwnerDetails_withServiceError",""
"passed","","","1","","org.springframework.samples.petclinic.api.dto.DtoTest","","3. VisitDetails — контракт данных визита","","allFieldsAccessible",""
"passed","","","19","","org.springframework.samples.petclinic.customers.web.ExtendedPetResourceTest","","3. PUT /owners/*/pets/{petId} — обновление данных питомца","","valid_saveCalledAfterUpdate",""
"passed","","","0","","org.springframework.samples.petclinic.customers.unit.OwnerValidationTest","","3. Города","","variousCities(String)[4]",""
"passed","","","24","","org.springframework.samples.petclinic.customers.contract.VisitsExtendedContractTest","","2. Контракт содержимого визитов","","fiveVisitsInResponse",""
"passed","","","14","","org.springframework.samples.petclinic.customers.integration.OwnerRepositoryIT","","3. Граничные случаи","","savedId_matchesFoundId",""
"passed","","","7","","org.springframework.samples.petclinic.customers.web.OwnerResourceTest","","2. GET /owners/{id} — поиск по ID","","existing_returns200WithBody",""
"passed","","","1","","org.springframework.samples.petclinic.vets.model.VetModelTest","","2. Специализации ветеринара","","radiologySpecialtyAdded",""
"passed","","","15","","org.springframework.samples.petclinic.api.boundary.web.ExtendedApiGatewayControllerTest","","2. Распределение визитов по питомцам","","onePetMultipleVisits_allAssigned",""
"passed","","","131","","org.petclinic.tests.PetApiTest","","org.petclinic.tests.PetApiTest","","getPetTypes_returns200WithNonEmptyList",""
"passed","","","0","","org.springframework.samples.petclinic.customers.unit.OwnerValidationTest","","2. Телефонные номера","","variousPhoneFormats(String)[4]",""
"passed","","","1","","org.springframework.samples.petclinic.visits.model.VisitModelTest","","2. Граничные случаи описания","","variousDescriptions(String)[3]",""
"passed","Mon Jun 15 21:15:24 UTC 2026","Mon Jun 15 21:15:24 UTC 2026","74","","OwnerApiTest — REST API владельцев","","org.petclinic.tests.OwnerApiTest","getOwner_nonExistentId_returnsNoRealOwner","getOwner_nonExistentId_returnsNoRealOwner()","GET /owners/{id} для несуществующего ID → не возвращает данные реального владельца"
"passed","Mon Jun 15 21:15:42 UTC 2026","Mon Jun 15 21:15:42 UTC 2026","130","","PetApiTest — REST API питомцев","","org.petclinic.tests.PetApiTest","getPetTypes_returns200WithNonEmptyList","getPetTypes_returns200WithNonEmptyList()","GET /petTypes → 200, список не пустой, у каждого типа есть id и name"
"passed","","","1","","org.springframework.samples.petclinic.visits.model.VisitModelTest","","1. Модель Visit — базовые свойства","","descriptionSetAndGet",""
"passed","","","16","","org.springframework.samples.petclinic.customers.contract.VisitsClientContractTest","","1. Контракт формата ответа","","visitHasIdField",""
"passed","","","4","","org.springframework.samples.petclinic.customers.unit.PetValidationTest","","1. Граничные случаи имён питомцев","","englishName",""
"passed","","","655","","org.petclinic.tests.VetApiTest","","org.petclinic.tests.VetApiTest","","getVets_eachVetHasRequiredFields",""
"passed","","","1","","org.springframework.samples.petclinic.customers.unit.OwnerValidationTest","","3. Города","","variousCities(String)[2]",""
"passed","","","1","","org.springframework.samples.petclinic.vets.model.VetModelTest","","1. Модель Vet — базовые свойства","","firstNameSetAndGet",""
"passed","","","1","","org.springframework.samples.petclinic.customers.unit.PetServiceTest","","3. Модель Owner — базовые свойства","","ownerTelephoneSetAndGet",""
"passed","","","1","","org.springframework.samples.petclinic.customers.unit.PetServiceTest","","1. Модель Pet — базовые свойства","","petNameSetAndGet",""
"passed","","","110","","org.petclinic.tests.VetApiTest","","org.petclinic.tests.VetApiTest","","getVets_listIsNotEmpty",""
"passed","","","1","","org.springframework.samples.petclinic.vets.model.VetModelTest","","3. Модель Specialty","","nameSetAndGet",""
"passed","Mon Jun 15 21:15:25 UTC 2026","Mon Jun 15 21:15:25 UTC 2026","60","","OwnerApiTest — REST API владельцев","","org.petclinic.tests.OwnerApiTest","createOwner_blankFirstName_returns400","createOwner_blankFirstName_returns400()","POST с пустым firstName должен вернуть 400"
"passed","","","20","","org.springframework.samples.petclinic.customers.integration.PetRepositoryIT","","3. Последовательные операции","","createFindUpdateFind",""
"passed","","","273","","org.petclinic.tests.PetApiTest","","org.petclinic.tests.PetApiTest","","getPet_existingPet_returns200WithFields",""
"passed","","","0","","org.springframework.samples.petclinic.customers.unit.OwnerValidationTest","","1. Имена владельцев — различные форматы","","singleCharFirstName",""
"passed","","","8","","org.springframework.samples.petclinic.customers.web.OwnerResourceTest","","1. POST /owners — создание владельца","","variousFirstNames_accepted(String)[5]",""
"passed","","","123","","org.petclinic.tests.OwnerApiTest","","org.petclinic.tests.OwnerApiTest","","createOwner_invalidTelephone_returns400",""
"passed","","","1","","org.springframework.samples.petclinic.vets.model.VetModelTest","","2. Специализации ветеринара","","addThreeSpecialties_countIsThree",""
"passed","","","0","","org.springframework.samples.petclinic.customers.unit.OwnerValidationTest","","1. Имена владельцев — различные форматы","","variousLastNames(String)[4]",""
"passed","","","16","","org.springframework.samples.petclinic.api.boundary.web.ExtendedApiGatewayControllerTest","","2. Распределение визитов по питомцам","","petWithNoVisits_emptyVisitsList",""
"passed","","","32","","org.springframework.samples.petclinic.vets.web.ExtendedVetResourceTest","","1. GET /vets — базовые сценарии","","oneVet_returnsSingle",""
"passed","","","30","","org.springframework.samples.petclinic.customers.unit.PetServiceTest","","4. Owner — управление списком питомцев","","addTwoPets",""
"passed","","","8","","org.springframework.samples.petclinic.customers.web.OwnerResourceTest","","1. POST /owners — создание владельца","","variousFirstNames_accepted(String)[3]",""
"passed","","","1","","org.springframework.samples.petclinic.customers.unit.PetValidationTest","","1. Граничные случаи имён питомцев","","variousPetNames(String)[3]",""
"passed","","","33","","org.springframework.samples.petclinic.customers.web.ExtendedPetResourceTest","","2. POST /owners/{ownerId}/pets — регистрация нового питомца","","ownerIdZero_returns400",""
"passed","","","2","","org.springframework.samples.petclinic.vets.model.VetModelTest","","1. Модель Vet — базовые свойства","","variousFirstNames(String)[3]",""
"passed","","","3","","org.springframework.samples.petclinic.visits.model.VisitModelTest","","1. Модель Visit — базовые свойства","","dateCanBeChanged",""
"passed","","","64","","org.springframework.samples.petclinic.vets.web.ExtendedVetResourceTest","","1. GET /vets — базовые сценарии","","noVets_returnsEmptyList",""
"passed","","","1","","org.springframework.samples.petclinic.api.dto.DtoTest","","1. OwnerDetails — контракт данных владельца","","getPetIds_returnsAllPetIds",""
"passed","","","0","","org.springframework.samples.petclinic.customers.unit.PetServiceTest","","1. Модель Pet — базовые свойства","","newPetHasNoBirthDate",""
"passed","","","22","","org.springframework.samples.petclinic.visits.web.ExtendedVisitResourceTest","","3. GET pets/visits?petId=... — визиты для нескольких питомцев","","fivePets_allVisitsPresent",""
"passed","","","12","","org.springframework.samples.petclinic.customers.integration.PetRepositoryIT","","2. Специфика PostgreSQL","","idIsAutoIncrementedCorrectly",""
"passed","Mon Jun 15 21:15:23 UTC 2026","Mon Jun 15 21:15:24 UTC 2026","488","","OwnerApiTest — REST API владельцев","","org.petclinic.tests.OwnerApiTest","getAllOwners_returns200AndNonNullList","getAllOwners_returns200AndNonNullList()","GET /owners → 200, ответ является непустым массивом"
